0 0 300 300
1 1 300 300
2 2 300 300
3 3 300 300
4 4 300 300
5 5 300 300
6 6 300 300
7 7 300 300
8 8 300 300
9 9 300 300
10 10 300 300
11 11 300 300
12 12 300 300
13 13 300 300
14 14 300 300
15 15 300 300
16 16 300 300
17 17 300 300
18 18 300 300
19 19 300 300
20 20 300 300
21 21 300 300
22 22 300 300
23 23 300 300
24 24 300 300
25 25 300 300
26 26 300 300
27 27 300 300
28 28 300 300
29 29 300 300
30 30 300 300
31 31 300 300
32 32 300 300
33 33 300 300
34 34 300 300
35 35 300 300
36 36 300 300
37 37 300 300
38 38 300 300
39 39 300.001 300.001
40 40 300.001 300.001
41 41 300.002 300.002
42 42 300.003 300.003
43 43 300.005 300.005
44 44 300.008 300.008
45 45 300.012 300.012
46 46 300.02 300.02
47 47 300.03 300.03
48 48 300.047 300.047
49 49 300.071 300.071
50 50 300.107 300.107
51 51 300.158 300.158
52 52 300.231 300.231
53 53 300.334 300.334
54 54 300.476 300.476
55 55 300.671 300.671
56 56 300.935 300.935
57 57 301.287 301.287
58 58 301.751 301.751
59 59 302.355 302.355
60 60 303.131 303.131
61 61 304.115 304.115
62 62 305.348 305.348
63 63 306.875 306.875
64 64 308.74 308.74
65 65 310.992 310.992
66 66 313.677 313.677
67 67 316.839 316.839
68 68 320.518 320.518
69 69 324.746 324.746
70 70 329.547 329.547
71 71 334.932 334.932
72 72 340.898 340.898
73 73 347.429 347.429
74 74 354.494 354.494
75 75 362.042 362.042
76 76 370.011 370.011
77 77 378.323 378.323
78 78 386.89 386.89
79 79 395.612 395.612
80 80 404.387 404.387
81 81 413.109 413.109
82 82 421.675 421.675
83 83 429.986 429.986
84 84 437.953 437.953
85 85 445.499 445.499
86 86 452.558 452.558
87 87 459.083 459.083
88 88 465.038 465.038
89 89 470.406 470.406
90 90 475.183 475.183
91 91 479.375 479.375
92 92 483.003 483.003
93 93 486.092 486.092
94 94 488.675 488.675
95 95 490.784 490.784
96 96 492.454 492.454
97 97 493.717 493.717
98 98 494.598 494.598
99 99 495.118 495.118
100 100 495.29 495.29
101 101 495.118 495.118
102 102 494.598 494.598
103 103 493.717 493.717
104 104 492.454 492.454
105 105 490.784 490.784
106 106 488.675 488.675
107 107 486.092 486.092
108 108 483.003 483.003
109 109 479.375 479.375
110 110 475.183 475.183
111 111 470.406 470.406
112 112 465.038 465.038
113 113 459.083 459.083
114 114 452.558 452.558
115 115 445.499 445.499
116 116 437.953 437.953
117 117 429.986 429.986
118 118 421.675 421.675
119 119 413.109 413.109
120 120 404.387 404.387
121 121 395.612 395.612
122 122 386.89 386.89
123 123 378.323 378.323
124 124 370.011 370.011
125 125 362.042 362.042
126 126 354.494 354.494
127 127 347.429 347.429
128 128 340.898 340.898
129 129 334.932 334.932
130 130 329.547 329.547
131 131 324.746 324.746
132 132 320.518 320.518
133 133 316.839 316.839
134 134 313.677 313.677
135 135 310.992 310.992
136 136 308.74 308.74
137 137 306.875 306.875
138 138 305.348 305.348
139 139 304.115 304.115
140 140 303.131 303.131
141 141 302.355 302.355
142 142 301.751 301.751
143 143 301.287 301.287
144 144 300.935 300.935
145 145 300.671 300.671
146 146 300.476 300.476
147 147 300.334 300.334
148 148 300.231 300.231
149 149 300.158 300.158
150 150 300.107 300.107
151 151 300.071 300.071
152 152 300.047 300.047
153 153 300.03 300.03
154 154 300.02 300.02
155 155 300.012 300.012
156 156 300.008 300.008
157 157 300.005 300.005
158 158 300.002 300.002
159 159 300.001 300.001
160 160 300 300
161 161 299.998 299.998
162 162 299.996 299.996
163 163 299.993 299.993
164 164 299.989 299.989
165 165 299.981 299.981
166 166 299.97 299.97
167 167 299.952 299.952
168 168 299.925 299.925
169 169 299.884 299.884
170 170 299.823 299.823
171 171 299.733 299.733
172 172 299.603 299.603
173 173 299.417 299.417
174 174 299.153 299.153
175 175 298.785 298.785
176 176 298.279 298.279
177 177 297.59 297.59
178 178 296.667 296.667
179 179 295.442 295.442
180 180 293.841 293.841
181 181 291.771 291.771
182 182 289.131 289.131
183 183 285.805 285.805
184 184 281.666 281.666
185 185 276.578 276.578
186 186 270.403 270.403
187 187 262.997 262.997
188 188 254.227 254.227
189 189 243.965 243.965
190 190 232.103 232.103
191 191 218.56 218.56
192 192 203.282 203.282
193 193 186.256 186.256
194 194 167.509 167.509
195 195 147.115 147.115
196 196 125.196 125.196
197 197 101.92 101.92
198 198 77.4981 77.4981
199 199 52.1801 52.1801
200 200 26.2467 26.2467
